,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,CODE,TYPE
84,Kyrgyzstan,Central and Eastern Europe,85,5.185,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.047619999999999996,0.38432,2.28136,KGZ,developing
85,Serbia,Central and Eastern Europe,86,5.1770000000000005,1.03437,0.81329,0.6458,0.15718,0.04339,0.20736999999999997,2.2753900000000002,SRB,developing
86,Bosnia and Herzegovina,Central and Eastern Europe,87,5.162999999999999,0.9338299999999999,0.64367,0.7076600000000001,0.09511,0.0,0.29889,2.48406,BIH,developing
87,Montenegro,Central and Eastern Europe,88,5.1610000000000005,1.07838,0.74173,0.6353300000000001,0.15111,0.12721,0.17190999999999998,2.2553099999999997,MNE,developing
88,Dominican Republic,Latin America and Caribbean,89,5.155,1.02787,0.9949600000000001,0.5766899999999999,0.52259,0.12372000000000001,0.21286,1.6962599999999999,DOM,developing
89,Morocco,Middle East and Northern Africa,90,5.151,0.8405799999999999,0.38595,0.5947100000000001,0.25645999999999997,0.08404,0.040530000000000004,2.9489099999999997,MAR,developing
90,Hungary,Central and Eastern Europe,91,5.145,1.24142,0.9316399999999999,0.67608,0.1977,0.044719999999999996,0.099,1.9547299999999999,HUN,developing
91,Pakistan,Southern Asia,92,5.132000000000001,0.68816,0.26135,0.40306,0.14622000000000002,0.1388,0.31185,3.18286,PAK,developing
92,Lebanon,Middle East and Northern Africa,93,5.129,1.12268,0.64184,0.76171,0.26228,0.030610000000000002,0.23693000000000003,2.0733900000000003,LBN,developing
93,Portugal,Western Europe,94,5.122999999999999,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999,1.53015,PRT,developed
94,Macedonia,Central and Eastern Europe,95,5.121,1.0193,0.78236,0.6473800000000001,0.27668000000000004,0.07047,0.23506999999999997,2.08947,MKD,developed
95,Vietnam,Southeastern Asia,96,5.061,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075,1.9418,VNM,developing
96,Somaliland Region,Sub-Saharan Africa,97,5.0569999999999995,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.36794,0.51479,2.43801,SOM,least
97,Tunisia,Middle East and Northern Africa,98,5.045,0.97724,0.43165,0.59577,0.23553000000000002,0.0817,0.03936,2.68413,Tunisia,developing
98,Greece,Western Europe,99,5.033,1.24886,0.75473,0.80029,0.05822000000000001,0.04127,0.0,2.12944,GRC,developed
99,Tajikistan,Central and Eastern Europe,100,4.996,0.48835,0.75602,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004,2.39106,TJK,developing
100,Mongolia,Eastern Asia,101,4.907,0.9885299999999999,1.0898299999999999,0.55469,0.35972,0.03285,0.34539000000000003,1.53586,MNG,developing
101,Laos,Southeastern Asia,102,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43078999999999995,2.08637,LAO,developing
102,Nigeria,Sub-Saharan Africa,103,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.8858599999999996,NGA,developing
103,Honduras,Latin America and Caribbean,104,4.871,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.06906,0.2044,2.2955099999999997,HND,developing
104,Iran,Middle East and Northern Africa,105,4.813,1.11758,0.38856999999999997,0.64232,0.22544,0.0557,0.38538,1.99817,IRN,developing
105,Zambia,Sub-Saharan Africa,106,4.795,0.61202,0.6376,0.23573000000000002,0.42662,0.11479,0.17865999999999999,2.5899099999999997,ZMB,least
106,Nepal,Southern Asia,107,4.793,0.44626000000000005,0.69699,0.50073,0.37012,0.07007999999999999,0.3816,2.32694,NPL,least
107,Palestinian Territories,Middle East and Northern Africa,108,4.754,0.67024,0.71629,0.56844,0.17744000000000001,0.10613,0.11154000000000001,2.40364,,least
108,Albania,Central and Eastern Europe,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.9281599999999999,ALB,developing
109,Bangladesh,Southern Asia,110,4.643,0.54177,0.24749000000000002,0.52989,0.39778,0.12583,0.19132000000000002,2.6090400000000002,BGD,least
110,Sierra Leone,Sub-Saharan Africa,111,4.635,0.36485,0.628,0.0,0.30685,0.08196,0.23897,3.01402,SLE,least
111,Iraq,Middle East and Northern Africa,112,4.575,1.07474,0.59205,0.51076,0.24856,0.13635999999999998,0.19589,1.81657,IRQ,developing
112,Namibia,Sub-Saharan Africa,113,4.574,0.9328700000000001,0.70362,0.34745,0.48613999999999996,0.10397999999999999,0.07795,1.92198,NAM,developing
113,Cameroon,Sub-Saharan Africa,114,4.513,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.06126,0.2268,2.5198,CMR,developing
114,Ethiopia,Sub-Saharan Africa,115,4.508,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.1717,0.29522,2.65614,ETH,least
115,South Africa,Sub-Saharan Africa,116,4.459,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.08415,0.13656,1.6422700000000001,ZAF,developing
116,Sri Lanka,Southern Asia,117,4.415,0.9731799999999999,0.84783,0.62007,0.50817,0.07964,0.46978000000000003,0.91681,LKA,developing
117,India,Southern Asia,118,4.404,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,0.25028,2.18032,IND,developing
118,Myanmar,Southeastern Asia,119,4.395,0.34112,0.69981,0.3988,0.42691999999999997,0.20243,0.81971,1.50655,,least
119,Egypt,Middle East and Northern Africa,120,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998,1.96895,EGY,developing
120,Armenia,Central and Eastern Europe,121,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,1.9786400000000002,ARM,developing
121,Kenya,Sub-Saharan Africa,122,4.356,0.52267,0.7624,0.30146999999999996,0.40576,0.06686,0.41328000000000004,1.88326,KEN,developing
122,Ukraine,Central and Eastern Europe,123,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,UKR,developing
123,Ghana,Sub-Saharan Africa,124,4.276,0.63107,0.49353,0.29681,0.40973000000000004,0.0326,0.21203000000000002,2.2002,GHA,developing
124,Congo (Kinshasa),Sub-Saharan Africa,125,4.272,0.05661,0.80676,0.188,0.15602,0.06075,0.25458000000000003,2.7492400000000004,COD,least
125,Georgia,Central and Eastern Europe,126,4.252,0.8379200000000001,0.19249000000000002,0.64035,0.32461,0.3188,0.06786,1.87031,GEO,developed
126,Congo (Brazzaville),Sub-Saharan Africa,127,4.236000000000001,0.7710899999999999,0.47798999999999997,0.28212,0.37938,0.09752999999999999,0.12077,2.10681,COG,least
127,Senegal,Sub-Saharan Africa,128,4.218999999999999,0.44314,0.7741600000000001,0.40457,0.31056,0.11681,0.19103,1.9786099999999998,SEN,least
128,Bulgaria,Central and Eastern Europe,129,4.217,1.11306,0.92542,0.67806,0.21219000000000002,0.00615,0.12793,1.15377,BGR,developed
129,Mauritania,Sub-Saharan Africa,130,4.2010000000000005,0.6139100000000001,0.8414200000000001,0.28639000000000003,0.1268,0.17955,0.22685999999999998,1.9263,MRT,least
130,Zimbabwe,Sub-Saharan Africa,131,4.1930000000000005,0.35041,0.71478,0.1595,0.25429,0.08582000000000001,0.18503,2.4427,ZWE,developing
131,Malawi,Sub-Saharan Africa,132,4.156000000000001,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,MWI,least
132,Sudan,Sub-Saharan Africa,133,4.138999999999999,0.63069,0.8192799999999999,0.29759,0.0,0.10039,0.18077000000000001,2.10995,SDN,least
133,Gabon,Sub-Saharan Africa,134,4.121,1.15851,0.72368,0.3494,0.28098,0.09314,0.062439999999999996,1.4533200000000002,GAB,developing
134,Mali,Sub-Saharan Africa,135,4.073,0.31292,0.8633299999999999,0.16347,0.27544,0.13647,0.21064000000000002,2.1108700000000002,SOM,least
135,Haiti,Latin America and Caribbean,136,4.0280000000000005,0.34097,0.29561,0.27494,0.12072000000000001,0.14476,0.47958,2.3711599999999997,HTI,least
136,Botswana,Sub-Saharan Africa,137,3.9739999999999998,1.09426,0.89186,0.34752,0.44088999999999995,0.10769000000000001,0.12425,0.96741,BWA,developing
137,Comoros,Sub-Saharan Africa,138,3.9560000000000004,0.27509,0.60323,0.29980999999999997,0.15412,0.18437,0.1827,2.25632,COM,least
138,Ivory Coast,Sub-Saharan Africa,139,3.9160000000000004,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,,developing
139,Cambodia,Southeastern Asia,140,3.907,0.55604,0.5375,0.42494,0.5885199999999999,0.08092,0.40339,1.3157299999999998,KHM,developing
140,Angola,Sub-Saharan Africa,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12070999999999998,2.09459,AGO,least
141,Niger,Sub-Saharan Africa,142,3.8560000000000003,0.1327,0.6053,0.26161999999999996,0.38040999999999997,0.17176,0.2097,2.09469,NER,least
142,South Sudan,Sub-Saharan Africa,143,3.832,0.39394,0.18519000000000002,0.15780999999999998,0.19662000000000002,0.13015,0.25899,2.50929,SSD,least
143,Chad,Sub-Saharan Africa,144,3.763,0.42213999999999996,0.63178,0.038239999999999996,0.12807000000000002,0.04952,0.18667,2.3063700000000003,TCD,least
144,Burkina Faso,Sub-Saharan Africa,145,3.739,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353000000000002,1.8731900000000001,BFA,least
145,Uganda,Sub-Saharan Africa,145,3.739,0.34719,0.90981,0.19625,0.43653000000000003,0.06442,0.27102,1.51416,UGA,least
146,Yemen,Middle East and Northern Africa,147,3.7239999999999998,0.57939,0.47493,0.31048000000000003,0.2287,0.05892000000000001,0.09821,1.97295,YEM,least
147,Madagascar,Sub-Saharan Africa,148,3.695,0.27954,0.46115,0.37109000000000003,0.13684000000000002,0.07506,0.2204,2.15075,MDG,least
148,Tanzania,Sub-Saharan Africa,149,3.6660000000000004,0.47155,0.77623,0.35700000000000004,0.3176,0.05099,0.31472,1.3776899999999999,TZA,least
149,Liberia,Sub-Saharan Africa,150,3.622,0.10705999999999999,0.50353,0.23165,0.25748000000000004,0.04852,0.24063,2.23284,LBR,least
150,Guinea,Sub-Saharan Africa,151,3.6069999999999998,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,GNQ,least
151,Rwanda,Sub-Saharan Africa,152,3.515,0.32846,0.6158600000000001,0.31865,0.5432,0.50521,0.23551999999999998,0.96819,RWA,least
152,Benin,Sub-Saharan Africa,153,3.484,0.39499,0.10419,0.21028000000000002,0.39747,0.06681000000000001,0.2018,2.10812,BEN,least
153,Afghanistan,Southern Asia,154,3.36,0.38227,0.11037000000000001,0.17344,0.1643,0.07112,0.31268,2.14558,AFG,developing
154,Togo,Sub-Saharan Africa,155,3.303,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.11587,0.17517,2.1354,TGO,least
155,Syria,Middle East and Northern Africa,156,3.069,0.7471899999999999,0.14866,0.6299399999999999,0.06912,0.17232999999999998,0.48396999999999996,0.81789,SYR,developing
156,Burundi,Sub-Saharan Africa,157,2.905,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.1040400000000004,BDI,least
