,Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,CODE,TYPE
44,El Salvador,45,6.002999783,0.9097844959999999,1.182125092,0.596018553,0.43245253,0.078257985,0.08998096,2.714593887,SLV,developing
45,Poland,46,5.97300005,1.291787863,1.44571197,0.699475348,0.520342112,0.15846596699999999,0.059307806,1.7977228159999998,POL,developed
46,Uzbekistan,47,5.971000195,0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,0.24652822300000002,1.816913605,UZB,developing
47,Italy,48,5.964000225,1.395066619,1.444923282,0.8531443479999999,0.256450713,0.17278964800000002,0.028028091,1.813312054,ITA,developed
48,Russia,49,5.962999821,1.2817780970000001,1.469282389,0.547349334,0.37378311200000003,0.052263822,0.032962881,2.205607414,RUS,developing
49,Belize,50,5.9559998510000005,0.9079753159999999,1.081417799,0.450191766,0.547509372,0.240015641,0.09658107199999999,2.631955624,BLZ,developing
50,Japan,51,5.920000076,1.4169151780000002,1.436337829,0.9134758709999999,0.505625546,0.12057276800000001,0.163760737,1.363223553,JPN,developed
51,Lithuania,52,5.90199995,1.314582348,1.4735161069999998,0.62894994,0.234231785,0.010164656999999999,0.011865643,2.228440523,LTU,developed
52,Algeria,53,5.872000217,1.091864467,1.146217465,0.6175846460000001,0.233335808,0.069436647,0.14609611,2.5676038269999997,DZA,developing
53,Latvia,54,5.849999905,1.260748625,1.4047149419999998,0.638566971,0.325707912,0.153074786,0.073842727,1.993655205,LVA,developed
54,South Korea,55,5.837999821,1.4016784430000002,1.1282744409999999,0.9002140759999999,0.257921666,0.206674367,0.063282669,1.880378008,KOR,developed
55,Moldova,56,5.837999821,0.72887063,1.251825571,0.589465201,0.24072904899999997,0.208779126,0.010091286,2.807808399,MDA,developing
56,Romania,57,5.8249998089999995,1.217683911,1.15009129,0.685158312,0.45700374200000005,0.13351991800000002,0.004387901,2.176831484,ROU,developed
57,Bolivia,58,5.822999954,0.8337565659999999,1.227619052,0.47363025,0.558732927,0.225560725,0.060477725999999996,2.443279028,BOL,developing
58,Turkmenistan,59,5.8220000270000005,1.130776763,1.4931491609999998,0.43772608,0.418271929,0.24992498800000001,0.25927034,1.832909822,TKM,developing
59,Kazakhstan,60,5.818999767,1.28455627,1.384369016,0.606041551,0.43745428299999994,0.201964423,0.11928288599999999,1.784892559,KAZ,developing
60,North Cyprus,61,5.809999942999999,1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,0.155353352,1.549157619,CYP,developing
61,Slovenia,62,5.757999897,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,0.04512897900000001,1.3133172990000002,SVN,developed
62,Peru,63,5.715000152999999,1.0352252720000001,1.218770385,0.6301661129999999,0.45000287899999997,0.126819715,0.047049087,2.20726943,PER,developing
63,Mauritius,64,5.629000187000001,1.189395547,1.20956099,0.638007462,0.49124732600000004,0.360933751,0.042181555,1.697583914,MUS,developing
64,Cyprus,65,5.620999812999999,1.3559380769999998,1.131363273,0.8447147009999999,0.355111539,0.27125430100000003,0.041237976,1.621249199,CYP,developed
65,Estonia,66,5.611000061,1.32087934,1.4766711000000001,0.695168316,0.47913143,0.098890811,0.18324892199999998,1.357508659,EST,developed
66,Belarus,67,5.568999767,1.15655756,1.444945216,0.637714267,0.29540026199999997,0.155137509,0.156313822,1.723232985,BLR,developed
67,Libya,68,5.525000095,1.101803064,1.35756433,0.52016902,0.46573323,0.152073666,0.09261021,1.8350112440000002,LBY,developing
68,Turkey,69,5.5,1.1982743740000001,1.337753177,0.637605608,0.30074059999999997,0.046693042000000004,0.09967158,1.879277945,TUR,developing
69,Paraguay,70,5.493000031,0.932537317,1.50728488,0.579250693,0.47350779200000004,0.224150658,0.09106591300000001,1.68533349,PRY,developing
70,Hong Kong,71,5.472000122000001,1.551674843,1.2627909179999999,0.943062425,0.490968645,0.374465793,0.29393374899999997,0.554633141,HKG,developed
71,Philippines,72,5.429999828,0.857699215,1.253917575,0.468009055,0.5852146739999999,0.19351342300000002,0.099331893,1.9726047519999999,PHL,developing
72,Serbia,73,5.394999981000001,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781,1.9470844269999998,SRB,developing
73,Jordan,74,5.335999966,0.9910123940000001,1.239088893,0.604590058,0.418421149,0.17217046,0.11980327199999999,1.791176558,JOR,developing
74,Hungary,75,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937,1.716459274,HUN,developing
75,Jamaica,76,5.31099987,0.9255793090000001,1.3682180640000001,0.641022384,0.474307239,0.233818337,0.055267780999999995,1.6123256680000002,JAM,developing
76,Croatia,77,5.293000221000001,1.222556233,0.9679830070000001,0.7012885209999999,0.255772293,0.248002976,0.04310311,1.854492426,HRV,developed
77,Kosovo,78,5.278999805,0.9514843820000001,1.1378535029999999,0.54145205,0.260287941,0.319931448,0.057471617999999995,2.010540724,KSV,developing
78,China,79,5.2729997630000005,1.0811657909999999,1.160837412,0.741415501,0.472787708,0.028806841,0.022794275,1.7649385930000001,CHN,developing
79,Pakistan,80,5.269000053,0.7268835309999999,0.67269069,0.402047783,0.23521526199999998,0.31544601899999997,0.12434806699999999,2.79248929,PAK,developing
80,Indonesia,81,5.262000083999999,0.995538592,1.274444699,0.492345721,0.443323463,0.6117045879999999,0.015317135,1.429476976,IDN,developing
81,Venezuela,82,5.25,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123,1.7894637580000001,VEN,developing
82,Montenegro,83,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194,1.729191542,MNE,developing
83,Morocco,84,5.235000134,0.878114581,0.774864435,0.597710669,0.408158332,0.032209955,0.08776318300000001,2.456189394,MAR,developing
